ds,yhat,yhat_lower,yhat_upper
2021-01-01,311785.3694370448,243909.8263838721,377872.774786189
2021-01-02,308585.5936900225,241226.02718400324,375196.97731178557
2021-01-03,314364.28814861627,245540.38434709824,382032.1525336533
2021-01-04,325317.2938893103,254615.59750457417,391700.3023586996
2021-01-05,319558.9087121135,245979.22440313484,387425.18260416476
2021-01-06,313856.93577317154,248071.61243859716,381320.0626474444
2021-01-07,317474.5783638288,250287.9349258338,385120.6713427558
2021-01-08,311851.3456166254,248391.46353542217,379996.0147712538
2021-01-09,307567.9038001507,234525.1714086785,375622.63522777107
2021-01-10,312265.9297034933,245738.11285287846,379442.63747414335
2021-01-11,322174.2571412617,252783.66441487,387062.31516307377
2021-01-12,315439.4612403291,244355.13701324898,379075.4353968779
2021-01-13,308859.869162675,237739.4343187676,374799.56644292193
2021-01-14,311726.4675657115,243236.79721037846,378601.7908101331
2021-01-15,305502.9024038826,237519.53699038643,373549.6335312917
2021-01-16,300789.53409852524,233393.06457224337,365240.68540937616
2021-01-17,305242.62962270447,245177.0647933247,371055.46911692724
2021-01-18,315100.0034981306,252737.618456152,378162.4382016751
2021-01-19,308511.2686106947,241954.4979463903,374419.03173935914
2021-01-20,302271.69652678544,236762.1670961707,373322.7457890852
2021-01-21,305663.16308043536,240321.22485771583,374024.1310612731
2021-01-22,300134.3745700445,231901.3777952726,372338.00462524727
2021-01-23,296265.33158930996,227553.9536870467,368022.5747138055
2021-01-24,301687.1004706259,233189.07576666313,369468.7138892301
2021-01-25,312608.1875367401,245148.39820772994,383783.3452748707
2021-01-26,307145.65553466376,238707.12845302036,379235.9004074258
2021-01-27,302059.9562750797,234218.8061991125,370877.93673785235
2021-01-28,306596.926307099,235579.51709957462,368378.62879515195
2021-01-29,302169.1094685227,233397.10101885692,367572.17790929566
2021-01-30,299321.3303538604,232949.2842629101,361796.1716899513
2021-01-31,305651.5551146724,238592.80795134662,372460.86313624016
2021-02-01,317338.30167490686,249321.99839284737,385225.1801762753
2021-02-02,312472.70705689193,242904.24620263505,379024.63769131474
2021-02-03,307794.19657736074,240425.37396462823,376775.5495571643
2021-02-04,312533.17569650465,241938.27096409514,378475.98937654746
2021-02-05,308092.88645239157,241923.9237094012,377108.8865316586
2021-02-06,305015.33529112337,240443.62679832088,375233.07789813704
2021-02-07,310902.3167601004,239412.39126225116,376368.37263564207
2021-02-08,321942.78883672645,252488.05189515717,387071.80122296006
2021-02-09,316244.7071253247,251129.52163111436,384823.97034445143
2021-02-10,310570.2681086303,247715.72233577154,382504.00394096226
2021-02-11,314177.99341073807,242578.8729552637,384035.7233277262
2021-02-12,308503.81362464675,239952.948110815,373213.8919048053
2021-02-13,304126.0801089379,235074.10749809112,376360.36123172427
2021-02-14,308685.5551752317,238988.97216612208,372390.2451117683
2021-02-15,318411.66600543,251124.69802987852,382656.2451929751
2021-02-16,311453.1618558246,246314.16353667318,373558.46191021375
2021-02-17,304612.15887756675,233361.816328565,371164.99976148986
2021-02-18,307185.0394783483,241492.4893506904,374167.94838778576
2021-02-19,300642.3995488557,232365.19617377882,365115.66272701224
2021-02-20,295592.9970458283,227753.877916587,365090.1166496892
2021-02-21,299702.82604249706,234087.99981515307,367420.46745310776
2021-02-22,309220.54513804,240262.40639230522,378439.0010497658
2021-02-23,302307.5087211572,233588.38637299303,370729.42310772586
2021-02-24,295771.3626607956,234143.3203619391,358569.50351307384
2021-02-25,298906.69412643515,228341.70404621246,366222.1252535059
2021-02-26,293174.9374639953,220414.6691914955,360556.0978010135
2021-02-27,289168.50071436644,223597.38474437007,360300.1012338151
2021-02-28,294530.1911019276,224015.82142591747,364279.20483174187
2021-03-01,305479.2436181989,236188.56259861347,375074.5908138389
2021-03-02,300142.10134154215,227234.01260710173,363841.58460845274
2021-03-03,295286.93090110325,226194.21568500757,364625.6800450665
2021-03-04,300165.3290751261,226954.49307477596,369969.3026700493
2021-03-05,296193.3931724471,228697.0395096971,366325.2482171458
2021-03-06,293917.0873081699,227735.06068362077,363263.4079500964
2021-03-07,300932.9481515444,232731.58373932596,366989.14703102026
2021-03-08,313415.39823911944,249423.66833829886,380671.7404119223
2021-03-09,309448.77921325405,239094.53749460788,379023.51332508196
2021-03-10,305763.05290053546,235057.55210013132,373889.54135844647
2021-03-11,311576.59253384254,243161.28477172367,374170.49501922075
2021-03-12,308278.20585345494,241093.4623419156,378783.3538452721
2021-03-13,306393.29494528595,234362.98493966233,373524.8511690371
2021-03-14,313505.1735845146,244384.1230783106,380766.9144279907
2021-03-15,325782.7924679773,263750.9355981636,395431.5357868224
2021-03-16,321312.9725849041,253457.82312940963,385638.117148181
2021-03-17,316836.08853711677,253316.22670257982,387934.2527140944
2021-03-18,321588.6240192671,248320.63827931514,391074.0055700131
2021-03-19,316984.74740340334,250647.909575452,383369.9593445084
2021-03-20,313581.8243320447,247358.4554342353,383748.32037915225
2021-03-21,319000.90580229845,251653.85887261806,386350.2661475505
2021-03-22,329453.464941591,263755.2749635514,399022.2764672211
2021-03-23,323072.5100120384,256431.65456419348,388262.85523556464
2021-03-24,316647.04637474753,246893.84870990287,383720.5299595073
2021-03-25,319463.34347137436,252601.71662996302,390930.5088158756
2021-03-26,312985.1902878391,248144.99397589982,380223.2609081509
2021-03-27,307818.09267914423,236615.82330016425,372364.116032498
2021-03-28,311628.48725801945,239853.66659775114,380645.92001436994
2021-03-29,320669.2800481681,253542.8790345444,390371.0885712721
2021-03-30,313109.8702212624,242496.41501971416,383016.89053732256
2021-03-31,305769.6612964578,239637.79803724147,375519.4355847436
2021-04-01,307958.5415364954,237712.5920822303,375895.848924195
2021-04-02,301156.5380061105,229951.35619313072,367496.9866035802
2021-04-03,295977.61341338814,230391.352945104,363945.33724687074
2021-04-04,300088.690499361,227324.43160486378,362587.36841393175
2021-04-05,309735.2162958397,245486.8314677405,374367.70457020064
2021-04-06,303071.4246611206,240302.5654856867,373208.7109560593
2021-04-07,296894.29161314043,223273.16732150986,361677.56606991345
2021-04-08,300484.6516425505,228250.06174169065,368588.3540036832
2021-04-09,295287.66064001503,228733.0608867826,361295.67873505503
2021-04-10,291877.5510236321,226474.4181412923,360030.1290121247
2021-04-11,297877.7362117588,228296.3574359414,369796.2036809173
2021-04-12,309487.5461004358,242915.34696339883,376055.87386315863
2021-04-13,304813.7187547615,239371.28655580408,373196.6242281714
2021-04-14,300605.60844544356,229839.79627156578,371533.3674337013
2021-04-15,306097.5433915989,235701.71986807842,376966.7263849757
2021-04-16,302690.4846605602,234913.92778695136,371995.64381846023
2021-04-17,300917.899216903,237055.20377150434,369163.01140341983
2021-04-18,308366.8742545736,236419.42492311378,377528.19692618435
2021-04-19,321205.7276488014,252271.41252867636,389581.58000202046
2021-04-20,317516.21723031846,250659.39050381773,382786.5833760922
